fun,name,value
Fn,fi_high,0.27790432801822323
Fn,cl_high,0.7446469248291572
Fn,both_high,0.2530751708428246
Fp,fi_high,0.6813211845102506
Fp,cl_high,0.7813211845102506
Fp,both_high,0.5665148063781321
Gc,fi_high,0.32779043280182235
Gc,cl_high,0.40478359908883826
Gc,both_high,0.18997722095671982
Iherb,fi_high,0.14077448747152618
Iherb,cl_high,0.16355353075170842
Iherb,both_high,0.07220956719817767
Ipisc,fi_high,0.9457858769931663
Ipisc,cl_high,0.4059225512528474
Ipisc,both_high,0.38314350797266516
